SS,,MSTF,
,,4.92941,31.98371
,,4.93346,31.51927
,,4.9375,30.94905
,,4.94154,30.79097
,,4.94558,30.70776
,,4.94961,30.46407
,,4.95364,29.93088
,,4.95767,29.39202
,,4.96169,28.95203
,,4.96571,28.62737
,,4.96973,28.158
,,4.97374,27.84285
,,4.97775,27.48685
,,4.98175,27.16255
,,4.98576,26.96607
,,4.98975,26.81198
,,4.99375,26.6146
,,4.99774,26.4838
,,5.00173,26.34743
,,5.00571,26.31039
,,5.00969,26.31748
,,5.01367,26.40559
,,5.01764,26.28563
,,5.02161,26.18967
,,5.02558,26.02348
,,5.02954,25.78349
,,5.0335,25.54405
,,5.03746,25.45027
,,5.04141,25.43611
,,5.04536,25.43219
,,5.04931,25.37962
,,5.05325,25.38334
,,5.05719,25.34758
,,5.06113,25.53677
,,5.06506,25.63515
,,5.06899,26.14647
,,5.07291,26.54964
,,5.07683,26.75079
,,5.08075,26.95008
,,5.08467,26.94266
,,5.08858,26.6725
,,5.09248,26.45291
,,5.09639,26.16073
,,5.10029,25.93173
,,5.10419,25.5961
,,5.10808,25.3594
,,5.11197,25.18407
,,5.11586,24.91604
,,5.11974,24.75883
,,5.12362,24.68819
,,5.1275,24.5951
,,5.13137,24.55887
,,5.13524,24.43541
,,5.13911,24.38143
,,5.14297,24.42385
,,5.14683,24.45539
,,5.15069,24.50028
,,5.15454,24.52594
,,5.15839,24.43073
,,5.16223,24.55175
,,5.16608,24.59515
,,5.16991,24.58587
,,5.17375,24.6499
,,5.17758,24.78815
,,5.18141,24.90767
,,5.18524,25.04344
,,5.18906,25.16258
,,5.19288,25.37512
,,5.19669,25.38139
,,5.2005,25.47909
,,5.20431,25.45426
,,5.20812,25.46083
,,5.21192,25.43208
,,5.21572,25.44153
,,5.21951,25.39023
,,5.2233,25.28618
,,5.22709,25.21766
,,5.23088,25.30414
,,5.23466,25.37788
,,5.23843,25.37477
,,5.24221,25.56026
,,5.24598,25.7724
,,5.24975,25.82504
,,5.25351,25.79919
,,5.25727,25.68397
,,5.26103,25.48073
,,5.26478,25.26814
,,5.26854,24.88629
,,5.27228,24.82059
,,5.27603,24.60092
,,5.27977,24.4227
,,5.2835,24.41009
,,5.28724,24.323
,,5.29097,24.14311
,,5.2947,24.23448
,,5.29842,24.08081
,,5.30214,24.06812
,,5.30586,24.05033
,,5.30957,23.87683
,,5.31328,23.77251
,,5.31699,23.56602
,,5.32069,23.51353
,,5.3244,23.49016
,,5.32809,23.58282
,,5.33179,23.47613
,,5.33548,23.58355
,,5.33917,23.7369
,,5.34285,23.75315
,,5.34653,23.84787
,,5.35021,23.86627
,,5.35388,24.08249
,,5.35755,24.12918
,,5.36122,24.26366
,,5.36489,24.35054
,,5.36855,24.61673
,,5.3722,24.70714
,,5.37586,24.66413
,,5.37951,24.79571
,,5.38316,24.75841
,,5.3868,24.67855
,,5.39044,24.52862
,,5.39408,24.29736
,,5.39772,24.16907
,,5.40135,23.90974
,,5.40498,23.83914
,,5.4086,23.63019
,,5.41222,23.52024
,,5.41584,23.46605
,,5.41946,23.4447
,,5.42307,23.46334
,,5.42668,23.44555
,,5.43028,23.45774
,,5.43389,23.55432
,,5.43748,23.53986
,,5.44108,23.58553
,,5.44467,23.68033
,,5.44826,23.75063
,,5.45185,23.90154
,,5.45543,24.002
,,5.45901,24.16237
,,5.46258,24.34899
,,5.46616,24.43169
,,5.46973,24.73712
,,5.4733,24.9734
,,5.47686,24.98479
,,5.48042,24.87126
,,5.48398,24.80475
,,5.48753,24.55272
,,5.49108,24.31812
,,5.49463,24.17423
,,5.49817,23.98949
,,5.50171,23.68637
,,5.50525,23.4873
,,5.50878,23.32562
,,5.51232,23.22893
,,5.51584,23.05017
,,5.51937,23.12627
,,5.52289,23.01899
,,5.52641,22.9935
,,5.52992,23.0413
,,5.53344,22.88047
,,5.53695,22.89437
,,5.54045,23.02781
,,5.54395,23.3129
,,5.54745,23.38197
,,5.55095,23.28767
,,5.55444,23.12875
,,5.55793,22.67586
,,5.56142,22.54525
,,5.5649,22.45373
,,5.56838,22.51558
,,5.57186,22.59258
,,5.57533,22.86683
,,5.57881,23.08391
,,5.58227,23.20822
,,5.58574,23.63029
,,5.5892,23.97323
,,5.59266,24.33718
,,5.59611,24.46994
,,5.59957,24.62963
,,5.60302,25.02323
,,5.60646,25.78006
,,5.6099,26.69243
,,5.61334,27.81437
,,5.61678,30.00516
,,5.62021,32.64112
,,5.62364,36.2057
,,5.62707,36.2681
,,5.6305,37.55677
,,5.63392,36.71938
,,5.63734,37.10408
,,5.64075,36.87188
,,5.64416,35.09293
,,5.64757,34.85587
,,5.65097,35.95419
,,5.65438,36.55918
,,5.65778,35.55858
,,5.66117,34.81897
,,5.66457,33.85731
,,5.66796,33.47032
,,5.67134,31.55806
,,5.67473,30.16098
,,5.67811,29.71398
,,5.68149,29.48433
,,5.68486,29.01302
,,5.68823,28.94118
,,5.6916,29.29083
,,5.69497,28.823
,,5.69833,28.64202
,,5.70169,28.50535
,,5.70505,28.0467
,,5.7084,27.97444
,,5.71175,27.65918
,,5.7151,27.2913
,,5.71844,26.58994
,,5.72178,26.20065
,,5.72512,25.72721
,,5.72845,25.1813
,,5.73179,24.6903
,,5.73512,24.36956
,,5.73844,24.11854
,,5.74176,23.88513
,,5.74508,23.66161
,,5.7484,23.70169
,,5.75171,23.39029
,,5.75503,22.98572
,,5.75833,23.2871
,,5.76164,23.07472
,,5.76494,22.60824
,,5.76824,22.9225
,,5.77154,22.74865
,,5.77483,22.55974
,,5.77812,22.49221
,,5.7814,22.22647
,,5.78469,22.20307
,,5.78797,22.27097
,,5.79125,21.77286
,,5.79452,21.85085
,,5.79779,21.925
,,5.80106,21.7566
,,5.80433,21.33571
,,5.80759,21.444
,,5.81085,21.86596
,,5.81411,21.14222
,,5.81736,21.35366
,,5.82061,21.41429
,,5.82386,21.79473
,,5.82711,22.18
,,5.83035,22.5125
,,5.83359,22.11
,,5.83683,21.03929
,,5.84006,21.35769
,,5.84329,20.96956
,,5.84652,21.30952
,,5.84974,20.52941
,,5.85296,20.05
,,5.85618,20.21539
,,5.8594,20.62727
,,5.86261,20.47778
,,5.86582,20.66667
,,5.86903,20.25
