SS,,MSTF,
1.65517,198.3636,1.29641,131.2372
1.6614,195.7818,1.30276,131.5754
1.66763,198.4273,1.30911,131.3788
1.67385,194.3818,1.31546,132.0212
1.68008,195.6909,1.3218,132.6601
1.6863,193.4636,1.32815,133.6452
1.69252,193.6182,1.33449,133.8796
1.69873,194.0333,1.34083,134.2047
1.70494,191.8917,1.34717,134.1383
1.71116,195.05,1.3535,133.5777
1.71737,192.925,1.35984,134.1496
1.72357,196.95,1.36617,134.1311
1.72978,195.3417,1.3725,135.9142
1.73598,200.5083,1.37883,140.3758
1.74218,201.7,1.38515,148.1414
1.74837,204.8583,1.39148,160.7943
1.75457,206.3167,1.3978,170.0856
1.76076,207.925,1.40412,178.4525
1.76695,209.1364,1.41044,179.6796
1.77313,213.9667,1.41675,173.7075
1.77932,215.5333,1.42307,167.1452
1.7855,217.5833,1.42938,158.9956
1.79168,219.4167,1.43569,154.5285
1.79786,217.0417,1.442,155.0975
1.80403,217.4167,1.4483,160.5179
1.8102,213.3417,1.45461,170.2321
1.81637,210.8167,1.46091,180.9314
1.82254,210.5417,1.46721,190.6127
1.8287,207.2917,1.47351,195.335
1.83486,204.9333,1.4798,193.1579
1.84102,204.5,1.48609,183.9792
1.84718,203.4769,1.49239,169.4722
1.85333,201.3643,1.49867,156.832
1.85948,200.1462,1.50496,147.05
1.86563,197.4769,1.51124,141.9003
1.87178,197.1,1.51753,137.9006
1.87792,196.3385,1.52381,135.2732
1.88406,196.4077,1.53008,132.823
1.8902,197.1461,1.53636,130.9924
1.89633,199.8231,1.54263,129.9323
1.90247,200.3769,1.54891,128.777
1.9086,199.1667,1.55517,128.1242
1.91472,200.2154,1.56144,128.2882
1.92085,203.0231,1.56771,127.7977
1.92697,201.3231,1.57397,129.5395
1.93309,200.2077,1.58023,135.9465
1.93921,197.9077,1.58649,138.7871
1.94532,197.1539,1.59274,135.6782
1.95143,193.1231,1.59899,135.5932
1.95754,191.3615,1.60525,136.4876
1.96365,184.4692,1.61149,136.2785
1.96975,179.6923,1.61774,135.3325
1.97585,175.3615,1.62399,132.3753
1.98195,171.1357,1.63023,129.3994
1.98805,168.4072,1.63647,127.2692
1.99414,163.0571,1.6427,125.1467
2.00023,161.0571,1.64894,123.3114
2.00632,156.0786,1.65517,120.4997
2.0124,153.3786,1.6614,119.2683
2.01848,150.9786,1.66763,117.9377
2.02456,148.7143,1.67385,116.8906
2.03064,143.3214,1.68008,116.4056
2.03671,144.3643,1.6863,115.4924
2.04278,141.2429,1.69252,114.8543
2.04885,138.5231,1.69873,114.2732
2.05491,137.5429,1.70494,114.0291
2.06098,138.4714,1.71116,114.0875
2.06704,135.8667,1.71737,113.0287
2.07309,134.5929,1.72357,113.4759
2.07915,134.7072,1.72978,113.8887
2.0852,134.0143,1.73598,114.1581
2.09125,133.2357,1.74218,116.2678
2.09729,133.4643,1.74837,119.0414
2.10334,128.6071,1.75457,121.527
2.10938,130.7,1.76076,120.4551
2.11541,125.5,1.76695,118.0297
2.12145,124.9533,1.77313,115.0074
2.12748,124.1333,1.77932,113.3628
2.13351,121.8933,1.7855,112.2321
2.13953,123.7067,1.79168,111.0509
2.14555,121.8467,1.79786,110.1264
2.15157,124.2333,1.80403,109.8102
2.15759,127.7,1.8102,108.9873
2.1636,132.62,1.81637,108.725
2.16961,142.3,1.82254,107.7854
2.17562,168.14,1.8287,107.0927
2.18163,206.3933,1.83486,106.7377
2.18763,249.12,1.84102,105.8768
2.19363,250.6,1.84718,105.6748
2.19963,209,1.85333,105.0983
2.20562,166.7933,1.85948,104.9094
2.21161,140.0867,1.86563,104.3486
2.2176,126.1533,1.87178,104.2141
2.22358,118.7667,1.87792,103.844
2.22956,113.2667,1.88406,103.644
2.23554,110.4933,1.8902,103.6989
2.24152,109.9333,1.89633,102.9706
2.24749,108.6067,1.90247,102.8254
2.25346,108.5733,1.9086,102.5049
2.25943,107.4875,1.91472,102.1331
2.26539,105.5313,1.92085,102.1118
2.27135,105.3125,1.92697,101.2554
2.27731,105.2187,1.93309,101.0973
2.28326,103.2125,1.93921,100.7687
2.28922,102.7353,1.94532,100.6352
2.29516,102.5,1.95143,99.9076
2.30111,101.575,1.95754,99.58488
2.30705,99.77499,1.96365,99.5538
2.31299,100.125,1.96975,99.30617
2.31893,100.075,1.97585,99.60793
2.32486,98.4625,1.98195,100.273
2.33079,99.64375,1.98805,101.6461
2.33672,100.8438,1.99414,103.3711
2.34265,98.59999,2.00023,105.5871
2.34857,99.4875,2.00632,108.8207
2.35448,97.49375,2.0124,112.0661
2.3604,96.19375,2.01848,116.9461
2.36631,96.30626,2.02456,122.5897
2.37222,97.39375,2.03064,127.8119
2.37813,98.35625,2.03671,136.4598
2.38403,99.44376,2.04278,157.0867
2.38993,106.8562,2.04885,201.425
2.39582,120.7412,2.05491,248.1095
2.40172,131.9,2.06098,263.002
2.40761,125.3176,2.06704,229.4213
2.4135,110.9176,2.07309,192.4794
2.41938,104.2588,2.07915,176.3318
2.42526,101.8824,2.0852,162.6016
2.43114,100.7765,2.09125,150.6443
2.43701,101.9,2.09729,142.4875
2.44289,100.4824,2.10334,135.7588
2.44875,102.1177,2.10938,131.1807
2.45462,102.9529,2.11541,128.1067
2.46048,100.6529,2.12145,127.6283
2.46634,103.7471,2.12748,129.9781
2.4722,103.6353,2.13351,134.083
2.47805,104.1294,2.13953,140.6004
2.4839,105.6529,2.14555,147.8266
2.48974,111.1,2.15157,154.6289
2.49559,140.453,2.15759,159.8818
2.50143,3406.989,2.1636,163.6272
2.50726,6613.776,2.16961,169.0539
2.51309,3348.618,2.17562,179.0699
2.51892,144.4944,2.18163,184.7248
2.52475,113.1235,2.18763,182.8964
2.53058,106.1412,2.19363,179.3489
2.5364,104.5778,2.19963,182.8711
2.54221,103.7278,2.20562,199.1049
2.54803,102.6333,2.21161,225.2234
2.55384,101.9833,2.2176,241.0975
2.55965,103.1944,2.22358,233.9268
2.56545,102.6389,2.22956,212.2053
2.57125,103.1053,2.23554,186.176
2.57705,103.2555,2.24152,159.5586
2.58284,103.0556,2.24749,138.0311
2.58863,104.6222,2.25346,123.7757
2.59442,106.4059,2.25943,115.7783
2.60021,104.8444,2.26539,112.4301
2.60599,105.7167,2.27135,116.3599
2.61177,107.1556,2.27731,136.6832
2.61754,106.2833,2.28326,199.0364
2.62331,105.7611,2.28922,251.5108
