wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
669,0.180233717,669,0.075513594,669,0.042029917
668,0.179921284,668,0.075589962,668,0.042240448
667,0.179871425,667,0.07592497,667,0.042090233
666,0.179867104,666,0.075753577,666,0.04215692
665,0.179534197,665,0.076147251,665,0.042263757
664,0.179518849,664,0.076303892,664,0.042542771
663,0.179396689,663,0.076257393,663,0.042483106
662,0.17915304,662,0.076887406,662,0.04266027
661,0.178993911,661,0.076934777,661,0.04266347
660,0.178906918,660,0.076918833,660,0.042914741
659,0.178651437,659,0.077646129,659,0.042847708
658,0.178727835,658,0.077455774,658,0.04298744
657,0.178834111,657,0.077258609,657,0.042819653
656,0.178628236,656,0.077868432,656,0.042846136
655,0.178290054,655,0.078177311,655,0.043399893
654,0.178390801,654,0.078196399,654,0.043072328
653,0.17828162,653,0.078596361,653,0.043376662
652,0.177873805,652,0.078992523,652,0.043507751
651,0.177898794,651,0.079124756,651,0.043658771
650,0.177794755,650,0.079671271,650,0.043906406
649,0.177640364,649,0.079827569,649,0.043816745
648,0.177629381,648,0.080073342,648,0.043828398
647,0.177293882,647,0.080536664,647,0.044087134
646,0.177256435,646,0.081153639,646,0.044264067
645,0.17720668,645,0.081372656,645,0.044107016
644,0.177115127,644,0.081835032,644,0.044394933
643,0.177116796,643,0.0820169,643,0.044165272
642,0.176922008,642,0.082828492,642,0.044529829
641,0.176913962,641,0.083392277,641,0.044780772
640,0.176784307,640,0.083785564,640,0.044630568
639,0.176772252,639,0.084227376,639,0.044853985
638,0.176414311,638,0.085186176,638,0.04508803
637,0.176658988,637,0.085264578,637,0.045147166
636,0.176498205,636,0.08589901,636,0.045307979
635,0.176158577,635,0.086851358,635,0.045699894
634,0.176040649,634,0.087641962,634,0.045760233
633,0.176097378,633,0.088209048,633,0.045901049
632,0.17589885,632,0.088621452,632,0.046184976
631,0.175835162,631,0.089192964,631,0.046022799
630,0.175809562,630,0.089754507,630,0.046349369
629,0.17578496,629,0.089994207,629,0.046460934
628,0.175697431,628,0.090608478,628,0.046594311
627,0.175739169,627,0.090692461,627,0.046467789
626,0.175924122,626,0.090739064,626,0.04641654
625,0.175739989,625,0.091499157,625,0.046686132
624,0.175512582,624,0.092107438,624,0.047038503
623,0.175449029,623,0.092349023,623,0.0473454
622,0.175360173,622,0.09252087,622,0.047344591
621,0.175634548,621,0.092551172,621,0.04731812
620,0.175486833,620,0.092898406,620,0.047522854
619,0.175389975,619,0.093091927,619,0.047726646
618,0.175553292,618,0.092967659,618,0.047683511
617,0.175367534,617,0.093224801,617,0.048110746
616,0.175429061,616,0.093466625,616,0.047763776
615,0.175401807,615,0.093340896,615,0.047923222
614,0.175272927,614,0.09358044,614,0.047935102
613,0.175461471,613,0.093450703,613,0.048079774
612,0.175434411,612,0.093484439,612,0.048115112
611,0.175409019,611,0.0936886,611,0.048327573
610,0.175183639,610,0.093781658,610,0.048590392
609,0.175434873,609,0.093436606,609,0.048392475
608,0.175287217,608,0.093875952,608,0.048879035
607,0.175193593,607,0.0937301,607,0.048750401
606,0.17514725,606,0.094232574,606,0.048896506
605,0.175024763,605,0.094072454,605,0.04913158
604,0.175009146,604,0.094227202,604,0.049188253
603,0.174882084,603,0.094282582,603,0.049412027
602,0.174995214,602,0.094155401,602,0.049215302
601,0.174901068,601,0.094289981,601,0.049311306
600,0.174981222,600,0.094121993,600,0.049379166
599,0.17475839,599,0.094590388,599,0.049720667
598,0.174479842,598,0.094627276,598,0.0501149
597,0.174666345,597,0.094486251,597,0.04997858
596,0.17464897,596,0.094648294,596,0.049912162
595,0.174392045,595,0.095022306,595,0.050064702
594,0.174145579,594,0.095014699,594,0.050439302
593,0.174192593,593,0.095270127,593,0.050687317
592,0.174169973,592,0.095441461,592,0.050643478
591,0.174229354,591,0.095325701,591,0.050675534
590,0.174087301,590,0.095591664,590,0.051027372
589,0.17385371,589,0.09575735,589,0.051017851
588,0.174025029,588,0.095856078,588,0.051037882
587,0.173613936,587,0.096356139,587,0.051399045
586,0.173661768,586,0.096404232,586,0.051406797
585,0.17345497,585,0.096340761,585,0.051756486
584,0.173702508,584,0.096745498,584,0.051816303
583,0.173447713,583,0.097056709,583,0.052002627
582,0.17334041,582,0.097271204,582,0.052363425
581,0.173473299,581,0.097459167,581,0.052298192
580,0.173598141,580,0.097220197,580,0.052133486
579,0.173277021,579,0.098238334,579,0.052596122
578,0.173494652,578,0.097900853,578,0.052717775
577,0.173293173,577,0.09825784,577,0.05302538
576,0.173335388,576,0.098617591,576,0.053186301
575,0.173117369,575,0.099018775,575,0.053445812
