Angle1,Intensity1
10.32,1905.1
10.34,1969.2
10.36,1879.4
10.38,1914
10.4,1956.2
10.42,1924.9
10.44,1924.2
10.46,1891.7
10.48,1868.7
10.5,1870.7
10.52,1876
10.54,1891.9
10.56,1898.3
10.58,1889.3
10.6,1865
10.62,1854.6
10.64,1811
10.66,1787.6
10.68,1904.9
10.7,1850.5
10.72,1868
10.74,1905.7
10.76,1879
10.78,1907.2
10.8,1860
10.82,1790.8
10.84,1746.2
10.86,1766
10.88,1833.7
10.9,1869.1
10.92,1838.9
10.94,1788.6
10.96,1856.6
10.98,1891.8
11,1850.2
11.02,1742.1
11.04,1768.4
11.06,1835.6
11.08,1883
11.1,1817.5
11.12,1784.6
11.14,1817.7
11.16,1864.3
11.18,1852.1
11.2,1890.5
11.22,1885.9
11.24,1858.9
11.26,1831.9
11.28,1868.5
11.3,1874.6
11.32,1860.3
11.34,1829.9
11.36,1775.8
11.38,1780.9
11.4,1804
11.42,1817.4
11.44,1767.9
11.46,1799.1
11.48,1812.3
11.5,1803.9
11.52,1807.7
11.54,1750.4
11.56,1738.5
11.58,1770.8
11.6,1831
11.62,1811
11.64,1783.6
11.66,1749.6
11.68,1712
11.7,1734.9
11.72,1719.8
11.74,1711.9
11.76,1733
11.78,1752
11.8,1747
11.82,1739.2
11.84,1734.7
11.86,1727.1
11.88,1745.5
11.9,1755.2
11.92,1740.7
11.94,1682.1
11.96,1764.7
11.98,1759.1
12,1700
12.02,1675.6
12.04,1732.2
12.06,1715.7
12.08,1677.6
12.1,1671.4
12.12,1683.6
12.14,1667.2
12.16,1661.9
12.18,1691.4
12.2,1747.8
12.22,1730.8
12.24,1716.4
12.26,1718.8
12.28,1673.1
12.3,1664.1
12.32,1671.1
12.34,1692.8
12.36,1737.8
12.38,1676.5
12.4,1713.3
12.42,1773.6
12.44,1700.5
12.46,1699.5
12.48,1643.8
12.5,1601.5
12.52,1643.9
12.54,1676.6
12.56,1672.4
12.58,1665.6
12.6,1676.2
12.62,1678.5
12.64,1679
12.66,1681.8
12.68,1680
12.7,1632.7
12.72,1610.4
12.74,1605.6
12.76,1615
12.78,1634
12.8,1679
12.82,1687.4
12.84,1676.1
12.86,1687.5
12.88,1651.5
12.9,1661.1
12.92,1687.3
12.94,1694.4
12.96,1715.7
12.98,1718.8
13,1739
13.02,1795.1
13.04,1821
13.06,1885.4
13.08,1935.3
13.1,1956.2
13.12,1993.6
13.14,2020.8
13.16,2053.4
13.18,2105.3
13.2,2205.8
13.22,2345.6
13.24,2409.2
13.26,2465.2
13.28,2667.8
13.3,2855.2
13.32,3058.2
13.34,3317.5
13.36,3676.2
13.38,4181.2
13.4,4598.5
13.42,5098.9
13.44,5790.5
13.46,6443.2
13.48,7186
13.5,7649.9
13.52,7569.8
13.54,6433.5
13.56,5063.2
13.58,3952.4
13.6,3214.5
13.62,2766.7
13.64,2450.3
13.66,2196.2
13.68,2040.1
13.7,2072.1
13.72,1983
13.74,1941.7
13.76,1949.7
13.78,1992.8
13.8,1898.4
13.82,1962.4
13.84,2070.5
13.86,2135.3
13.88,2235.8
13.9,2378.6
13.92,2462
13.94,2419.3
13.96,2155
13.98,1842.6
14,1625.4
14.02,1526.7
14.04,1476.5
14.06,1522.4
14.08,1546
14.1,1516.9
14.12,1414.9
14.14,1508.1
14.16,1499
14.18,1451.2
14.2,1477.8
14.22,1425
14.24,1463.4
14.26,1508.3
14.28,1492.3
14.3,1516.7
14.32,1516.2
14.34,1483.9
14.36,1437
14.38,1515.5
14.4,1525.5
14.42,1522.7
14.44,1530.7
14.46,1568.8
14.48,1599.6
14.5,1633.1
14.52,1677.3
14.54,1745.8
14.56,1841.1
14.58,1906.5
14.6,1985.4
14.62,2144.6
14.64,2258
14.66,2324.7
14.68,2338.8
14.7,2292.2
14.72,2099.5
14.74,1890
14.76,1723.8
14.78,1627.1
14.8,1543.3
14.82,1536.9
14.84,1480.3
14.86,1369
14.88,1362.9
14.9,1380.2
14.92,1400.7
14.94,1421.2
14.96,1444.1
14.98,1465.5
15,1457.9
15.02,1458.4
15.04,1525.4
15.06,1515.1
15.08,1574.2
15.1,1682.4
15.12,1813.4
15.14,1904
15.16,2074.1
15.18,2312.9
15.2,2600.6
15.22,2830.6
15.24,3351.9
15.26,3835.5
15.28,4118.7
15.3,4034.9
15.32,3325.3
15.34,2548.3
15.36,1881.3
15.38,1460.1
15.4,1380.9
15.42,1367.1
15.44,1341
15.46,1230.5
15.48,1250.6
15.5,1258
15.52,1252.6
15.54,1238.1
15.56,1174.2
15.58,1172.9
15.6,1203.3
15.62,1237.8
15.64,1213.4
15.66,1228.1
15.68,1198.9
15.7,1125.1
15.72,1158.6
15.74,1137.8
15.76,1141.4
15.78,1179.8
15.8,1230.8
15.82,1177.8
15.84,1128.7
15.86,1118.7
15.88,1183.4
15.9,1275.9
15.92,1238.6
15.94,1160.7
15.96,1144.7
15.98,1131
16,1139.9
16.02,1165.1
16.04,1198.5
16.06,1204.6
16.08,1151
16.1,1132.8
16.12,1163.9
16.14,1106.7
16.16,1127.3
16.18,1135.2
16.2,1118.8
16.22,1112.7
16.24,1145.9
16.26,1156.3
16.28,1144.8
16.3,1128.8
16.32,1129.4
16.34,1095
16.36,1078.8
16.38,1141.2
16.4,1073.4
16.42,1120.6
16.44,1132.1
16.46,1021.2
16.48,1079.1
16.5,1051.9
16.52,1056
16.54,1121.8
16.56,1120.3
16.58,1135
16.6,1091.8
16.62,1013
16.64,1033.6
16.66,1089.1
16.68,1104.2
16.7,1085.3
16.72,1067
16.74,1066.7
16.76,1067
16.78,1074.2
16.8,1096.9
16.82,1059.5
16.84,1050.1
16.86,1043.4
16.88,1028.1
16.9,1123.3
16.92,1085.8
16.94,1057.4
16.96,1091.7
16.98,1089.4
17,1093.3
17.02,1102.5
17.04,1108.5
17.06,1084.1
17.08,1081
17.1,1075
17.12,1067.6
17.14,1069.8
17.16,1026.6
17.18,1062
17.2,1106.2
17.22,1058.2
17.24,1118.6
17.26,1152.5
17.28,1195
17.3,1265.5
17.32,1203.8
17.34,1260.4
17.36,1350.4
17.38,1428.3
17.4,1490.8
17.42,1511
17.44,1433.7
17.46,1281.5
17.48,1200
17.5,1176.5
17.52,1181.3
17.54,1212.3
17.56,1276.3
17.58,1267.6
17.6,1282.1
17.62,1318.2
17.64,1362.4
17.66,1345.7
17.68,1276.4
17.7,1217.9
17.72,1219.1
17.74,1137.6
17.76,1075.2
17.78,1049.4
17.8,1057
17.82,1001.4
17.84,1005.1
17.86,1022.7
17.88,1039.1
17.9,1057.4
17.92,1049.6
17.94,1009.6
17.96,959.6
17.98,953.5
18,1007.5
18.02,1036.1
18.04,1045.8
18.06,1058.7
18.08,1062.7
18.1,1049.3
18.12,1019.7
18.14,977.8
18.16,972.5
18.18,1011.4
18.2,1043.1
18.22,1039.6
18.24,1025.9
18.26,1054.8
18.28,1075.3
18.3,1084.8
18.32,1151.8
18.34,1118.7
18.36,1072.2
18.38,1038.3
18.4,1035.3
18.42,1006.6
18.44,999.4
18.46,1000.6
18.48,981.6
18.5,1003.9
18.52,991.5
18.54,975.2
18.56,987.2
18.58,994.9
18.6,946.7
18.62,913
18.64,939.2
18.66,1028.3
18.68,1026.1
18.7,996.1
18.72,964.8
18.74,937.4
18.76,977.1
18.78,1000
18.8,978.6
18.82,892.6
18.84,942.3
18.86,935.9
18.88,907.7
18.9,954.2
18.92,943.6
18.94,943
18.96,945.7
18.98,943.5
19,1009.7
19.02,1030.1
19.04,1026.2
19.06,1018.5
19.08,1061.2
19.1,1074.5
19.12,1073.9
19.14,1072.1
19.16,1100.2
19.18,1084.7
19.2,1111.7
19.22,1163.8
19.24,1128.8
19.26,1179.3
19.28,1291
19.3,1387.8
19.32,1342.2
19.34,1468.5
19.36,1550.1
19.38,1572.8
19.4,1535.4
19.42,1490.4
19.44,1529.3
19.46,1627.6
19.48,1762.6
19.5,1891.3
19.52,2131.4
19.54,2462.8
19.56,2891.1
19.58,3495.8
19.6,4256.5
19.62,5185.9
19.64,6116.4
19.66,6520
19.68,5568.4
19.7,4471.6
19.72,3386.5
19.74,2262.4
19.76,1670.6
19.78,1295.2
19.8,1095.5
19.82,1040.9
19.84,1024.2
19.86,1027.4
19.88,1032.7
19.9,1026
19.92,1010.8
19.94,1032.8
19.96,1049.7
19.98,1038.5
20,987.5
20.02,986.7
20.04,1003.8
20.06,1014
20.08,966
20.1,971.3
20.12,985.1
20.14,990.7
20.16,969.4
20.18,1000.1
20.2,988.8
20.22,952.8
20.24,923.1
20.26,948.1
20.28,955
20.3,948.1
20.32,934.1
20.34,953.9
20.36,968.1
20.38,937.8
20.4,866.4
20.42,903.8
20.44,892.6
20.46,908.8
20.48,955.3
20.5,956.8
20.52,925.3
20.54,916.6
20.56,932.7
20.58,956.3
20.6,984.1
20.62,968.3
20.64,941.9
20.66,954.9
20.68,976.8
20.7,946.4
20.72,902.7
20.74,882.1
20.76,904.2
20.78,901.6
20.8,909.2
20.82,936.5
20.84,913.6
20.86,927.2
20.88,944.5
20.9,960.4
20.92,997.7
20.94,957.9
20.96,979.7
20.98,1036
21,1001.8
21.02,1039.6
21.04,1041.8
21.06,1032.5
21.08,1061.4
21.1,1032.1
21.12,1031.1
21.14,1030.6
21.16,1005.1
21.18,1008.2
21.2,967.4
21.22,927.4
21.24,915.9
21.26,944.9
21.28,987
21.3,992.5
21.32,961.2
21.34,968.9
21.36,1008.2
21.38,1001.2
21.4,988.4
21.42,1111
21.44,1131
21.46,1084.5
21.48,1018.4
21.5,998.6
21.52,975.1
21.54,938.9
21.56,916.8
21.58,934.3
21.6,973.1
21.62,997.7
21.64,999.4
21.66,973.4
21.68,924.7
21.7,955
21.72,948.8
21.74,896.5
21.76,958.2
21.78,948.1
21.8,936.2
21.82,940.4
21.84,965.5
21.86,951.5
21.88,946.7
21.9,951.5
21.92,956.8
21.94,979
21.96,991
21.98,999.9
22,1014.6
22.02,1040.5
22.04,1098.9
22.06,1160.8
22.08,1212.1
22.1,1307.3
22.12,1359.6
22.14,1458.9
22.16,1643.2
22.18,1912.1
22.2,2214.5
22.22,2603.3
22.24,3113.8
22.26,3809.1
22.28,4829.9
22.3,6129.8
22.32,7610.9
22.34,9112
22.36,9651.2
22.38,8765.6
22.4,7069.3
22.42,5295.9
22.44,3880.9
22.46,2600.1
22.48,1676.2
22.5,1253.3
22.52,1205.3
22.54,1145.2
22.56,1081.5
22.58,1024.8
22.6,1008.8
22.62,1006.6
22.64,1012.8
22.66,1020.9
22.68,1015.6
22.7,992.1
22.72,988.4
22.74,995.2
22.76,984.6
22.78,977.5
22.8,980.8
22.82,1002.6
22.84,1051.2
22.86,1080.9
22.88,1044
22.9,1020.4
22.92,1065
22.94,1093.9
22.96,1131.5
22.98,1172.5
23,1211.7
23.02,1232.2
23.04,1254
23.06,1284.5
23.08,1325
23.1,1372.2
23.12,1419.4
23.14,1517.7
23.16,1667.2
23.18,1851.5
23.2,1975.1
23.22,2182.7
23.24,2423.7
23.26,2621.7
23.28,2685.9
23.3,2584.8
23.32,2390.3
23.34,2162.3
23.36,1882.8
23.38,1619.8
23.4,1406.6
23.42,1265.2
23.44,1225.6
23.46,1134.4
23.48,1090.7
23.5,1095.6
23.52,1043.8
23.54,1075.4
23.56,1102.6
23.58,1127.4
23.6,1186.8
23.62,1204.4
23.64,1260.7
23.66,1352.2
23.68,1464.9
23.7,1647
23.72,1855.6
23.74,1972.4
23.76,1904.2
23.78,1771.7
23.8,1598.7
23.82,1424.6
23.84,1270.2
23.86,1129.3
23.88,1033.4
23.9,965.6
23.92,927.2
23.94,945.4
23.96,956.5
23.98,947.7
24,933.3
24.02,951.6
24.04,958.6
24.06,927.2
24.08,888
24.1,888
24.12,874.5
24.14,897.5
24.16,907.5
24.18,865.8
24.2,931.3
24.22,922.3
24.24,913.7
24.26,941.3
24.28,944.4
24.3,939
24.32,932.1
24.34,924.2
24.36,907.5
24.38,943.9
24.4,928.1
24.42,878.1
24.44,891.8
24.46,956.9
24.48,987.3
24.5,1003.1
24.52,1048.8
24.54,1042.6
24.56,1065.6
24.58,1088.6
24.6,1082.7
24.62,1101.7
24.64,1110.8
24.66,1109.3
24.68,1092.8
24.7,1027.3
24.72,963
24.74,937.9
24.76,951.1
24.78,932.9
24.8,928.7
24.82,972
24.84,1032.4
24.86,1011
24.88,1081.3
24.9,1098.7
24.92,1091.4
24.94,1132.6
24.96,1099.5
24.98,1079.1
25,1067.1
25.02,1054.4
25.04,993.5
25.06,976
25.08,984.2
25.1,1007
25.12,1052.7
25.14,1030
25.16,1018.9
25.18,1051.7
25.2,1124
25.22,1200.2
25.24,1271.6
25.26,1332.4
25.28,1372.8
25.3,1489.5
25.32,1529.6
25.34,1509.7
25.36,1493.7
25.38,1464.6
25.4,1405
25.42,1334.6
25.44,1277.3
25.46,1292.5
25.48,1472.4
25.5,1661.8
25.52,1770.9
25.54,2025.3
25.56,2303.6
25.58,2812
25.6,3583.1
25.62,4309.7
25.64,5352.1
25.66,6710.7
25.68,8374.2
25.7,10309.5
25.72,11409
25.74,11145.2
25.76,9763
25.78,7855.2
25.8,6272.3
25.82,4604.7
25.84,3112.8
25.86,2120.4
25.88,1720.6
25.9,1472.9
25.92,1314.3
25.94,1203.3
25.96,1236.9
25.98,1168.9
26,1102.9
26.02,1090.4
26.04,1146.7
26.06,1154.5
26.08,1187.6
26.1,1252.3
26.12,1301.1
26.14,1435.5
26.16,1590.8
26.18,1769.1
26.2,1995.3
26.22,2315.3
26.24,2617.8
26.26,2911.3
26.28,3215.3
26.3,3795.6
26.32,4583.3
26.34,5423
26.36,6149.6
26.38,6224.2
26.4,5566.5
26.42,4631.6
26.44,3686.1
26.46,2951.2
26.48,2176.2
26.5,1570.1
26.52,1205
26.54,1106.8
26.56,1080.7
26.58,1048.1
26.6,1000.5
26.62,949.5
26.64,932.5
26.66,927.9
26.68,924.1
26.7,908.1
26.72,922.4
26.74,956
26.76,945.1
26.78,851.8
26.8,941.6
26.82,933.4
26.84,915.5
26.86,928.7
26.88,926.5
26.9,942.5
26.92,950.8
26.94,946.1
26.96,940.7
26.98,984
27,997.4
27.02,982.2
27.04,974.6
27.06,1079.4
27.08,1115.6
27.1,1134.5
27.12,1230.4
27.14,1284.4
27.16,1355.1
27.18,1429.4
27.2,1491.9
27.22,1490.4
27.24,1434.3
27.26,1331
27.28,1200.7
27.3,1160.4
27.32,1160.4
27.34,1154.7
27.36,1145.8
27.38,1210.5
27.4,1241.4
27.42,1336.5
27.44,1482.5
27.46,1599
27.48,1837.4
27.5,2046
27.52,2276.2
27.54,2627.3
27.56,3184.8
27.58,3667.5
27.6,4204.9
27.62,4911.6
27.64,5373.9
27.66,5504.8
27.68,5389
27.7,5091.9
27.72,4708.8
27.74,4224.8
27.76,3801.2
27.78,3514.4
27.8,3428.4
27.82,3642.1
27.84,3902.5
27.86,4111.8
27.88,4165.9
27.9,3825.4
27.92,3367.1
27.94,2868.9
27.96,2403.5
27.98,2018.4
28,1655
28.02,1353.8
28.04,1157.2
28.06,1090.9
28.08,1052.4
28.1,1009.7
28.12,953.7
28.14,995.6
28.16,1019.8
28.18,1014.5
28.2,993.4
28.22,1042.9
28.24,1059.3
28.26,1081.5
28.28,1120.3
28.3,1179
28.32,1276.6
28.34,1347.5
28.36,1385.9
28.38,1396.6
28.4,1236.5
28.42,1137.7
28.44,1104.6
28.46,1124.7
28.48,1005.9
28.5,938.2
28.52,887.8
28.54,836.6
28.56,844.2
28.58,841.9
28.6,858.7
28.62,892.5
28.64,867.3
28.66,858.6
28.68,850.1
28.7,851.1
28.72,901.4
28.74,973.3
28.76,1046.7
28.78,1094.2
28.8,1072.1
28.82,1139
28.84,1184.4
28.86,1226.9
28.88,1293
28.9,1197.8
28.92,1171.1
28.94,1160.7
28.96,1122.5
28.98,1003.7
29,992.9
29.02,970.7
29.04,893.4
29.06,828.7
29.08,835.7
29.1,831.6
29.12,805.2
29.14,796.1
29.16,851.3
29.18,869.5
29.2,845.6
29.22,800.6
29.24,816.6
29.26,803.9
29.28,784.4
29.3,792
29.32,795.1
29.34,799.1
29.36,789.1
29.38,759.3
29.4,795.1
29.42,797.7
29.44,798
29.46,806.6
29.48,795.2
29.5,786.8
29.52,775
29.54,772.6
29.56,829.7
29.58,790.5
29.6,779.3
29.62,802
29.64,826.4
29.66,793.2
29.68,781.4
29.7,776.1
29.72,750.2
29.74,718.2
29.76,759.3
29.78,784.3
29.8,725.3
29.82,711.5
29.84,738.5
29.86,784.2
29.88,827
29.9,801.1
29.92,781.3
29.94,780.9
29.96,795.3
29.98,791.5
30,759.4
30.02,756.8
30.04,779.8
30.06,795.8
30.08,801.9
30.1,767.7
30.12,739
30.14,782.4
30.16,789
30.18,778.7
30.2,767.3
30.22,769.4
30.24,800.7
30.26,812.9
30.28,832
30.3,865.9
30.32,865.2
30.34,828.1
30.36,841
30.38,909.9
30.4,938.8
30.42,1007.5
30.44,1055.6
30.46,1082.1
30.48,1113.4
30.5,1220.6
30.52,1260.5
30.54,1252.2
30.56,1246.1
30.58,1250.5
30.6,1204.5
30.62,1131.6
30.64,1057
30.66,1004.5
30.68,965.2
30.7,935.6
30.72,914.2
30.74,905.8
30.76,923.7
30.78,989.2
30.8,1095.7
30.82,1181.8
30.84,1291.1
30.86,1423.6
30.88,1579
30.9,1755.7
30.92,2026.3
30.94,2321.1
30.96,2576.4
30.98,2705.9
31,2805.1
31.02,2708.7
31.04,2476.6
31.06,2179.3
31.08,1848.8
31.1,1580.4
31.12,1357.3
31.14,1167.2
31.16,1003.5
31.18,897.7
31.2,840.8
31.22,827
31.24,846.8
31.26,811.7
31.28,778.8
31.3,762
31.32,762
31.34,768.8
31.36,739
31.38,702.4
31.4,718.4
31.42,743.1
31.44,726.4
31.46,695.7
31.48,684.3
31.5,747.5
31.52,743.4
31.54,716.8
31.56,701.7
31.58,723.1
31.6,701.1
31.62,694.1
31.64,714.9
31.66,700.5
31.68,692.3
31.7,674.4
31.72,661.8
31.74,709.7
31.76,708.9
31.78,702.5
31.8,694.2
31.82,679.7
31.84,687
31.86,674.4
31.88,668.9
31.9,701.8
31.92,688.1
31.94,655.8
31.96,637.2
31.98,653.3
32,671.6
32.02,681.8
32.04,672.4
32.06,650.1
32.08,680.6
32.1,706.6
32.12,707
32.14,689.5
32.16,697.1
32.18,730.9
32.2,733.1
32.22,719.9
32.24,738.9
32.26,699.8
32.28,689.3
32.3,693.8
32.32,689.9
32.34,665.5
32.36,678
32.38,690.8
32.4,676.7
32.42,656.1
32.44,671
32.46,666.6
32.48,633.4
32.5,676
32.52,675.3
32.54,652.1
32.56,633.1
32.58,687.2
32.6,668.7
32.62,644.5
32.64,620.1
32.66,584.3
32.68,606.9
32.7,634.5
32.72,669.3
32.74,718.8
32.76,706.9
32.78,686.4
32.8,687.9
32.82,729.5
32.84,702.8
32.86,714.7
32.88,740.1
32.9,762.3
32.92,756.2
32.94,755
32.96,754.3
32.98,758.8
33,791.6
33.02,773.6
33.04,788.1
33.06,824.9
33.08,828.7
33.1,841.7
33.12,850.3
33.14,852.6
33.16,848.1
33.18,814.9
33.2,806.6
33.22,799.7
33.24,774.1
33.26,755
33.28,764
33.3,775
33.32,773
33.34,754.7
33.36,802.5
33.38,828.3
33.4,816.8
33.42,827.5
33.44,815.3
33.46,781.1
33.48,741.6
33.5,735.5
33.52,677.7
33.54,647.9
33.56,647.1
33.58,664.6
33.6,647.9
33.62,665.8
33.64,677.2
33.66,645.3
33.68,653.7
33.7,606.8
33.72,568.9
33.74,575.2
33.76,597.3
33.78,617.6
33.8,612.1
33.82,588.7
33.84,617.6
33.86,611.7
33.88,606.8
33.9,618.7
33.92,666.6
33.94,604.5
33.96,593.2
33.98,608.7
34,586.7
34.02,614.1
34.04,664
34.06,699
34.08,685.8
34.1,712.5
34.12,729.8
34.14,753.4
34.16,791
34.18,823.8
34.2,831.6
34.22,803.3
34.24,745.1
34.26,706.2
34.28,711.5
34.3,700.7
34.32,664.6
34.34,615.8
34.36,614.4
34.38,624.5
34.4,632.9
34.42,625.3
34.44,611.1
34.46,622.8
34.48,650
34.5,678.5
34.52,658
34.54,647.7
34.56,646.4
34.58,655.4
34.6,695.7
34.62,671
34.64,676.3
34.66,730.3
34.68,725.8
34.7,747.8
34.72,758.6
34.74,744.8
34.76,695.3
34.78,704.3
34.8,692.9
34.82,673.2
34.84,685.4
34.86,639.5
34.88,645.4
34.9,659.8
34.92,629.2
34.94,642.1
34.96,644.4
34.98,640.9
35,637.5
