2theta (700C),intensity (700C)
1.6514,-1246.72026
1.65682,-1246.64614
1.66225,-1246.75294
1.66767,-1246.76338
1.6731,-1246.81494
1.67853,-1246.84034
1.68395,-1246.92978
1.68938,-1246.91562
1.6948,-1246.84568
1.70023,-1246.835
1.70566,-1246.92947
1.71108,-1247.03441
1.71651,-1247.02255
1.72193,-1247.08858
1.72736,-1247.18212
1.73279,-1247.39232
1.73821,-1247.33097
1.74364,-1247.27247
1.74906,-1247.17489
1.75449,-1247.41173
1.75992,-1247.49033
1.76534,-1247.53891
1.77077,-1247.38863
1.77619,-1247.49166
1.78162,-1247.51057
1.78705,-1247.67024
1.79247,-1247.62151
1.7979,-1247.69575
1.80333,-1247.76207
1.80875,-1247.56795
1.81418,-1247.4957
1.8196,-1247.49225
1.82503,-1247.64724
1.83046,-1247.6865
1.83588,-1247.61583
1.84131,-1247.45465
1.84673,-1247.57046
1.85216,-1247.51735
1.85759,-1247.68251
1.86301,-1247.74173
1.86844,-1247.83804
1.87386,-1247.74819
1.87929,-1247.67408
1.88472,-1247.59967
1.89014,-1247.59143
1.89557,-1247.57493
1.90099,-1247.69608
1.90642,-1247.87004
1.91185,-1247.86335
1.91727,-1247.74857
1.9227,-1247.57299
1.92812,-1247.50575
1.93355,-1247.45599
1.93898,-1247.61488
1.9444,-1247.53289
1.94983,-1247.66294
1.95525,-1247.65234
1.96068,-1247.63568
1.96611,-1247.48705
1.97153,-1247.42814
1.97696,-1247.31993
1.98238,-1247.27365
1.98781,-1247.24919
1.99324,-1247.34165
1.99866,-1247.30921
2.00409,-1247.18539
2.00951,-1247.15013
2.01494,-1247.22698
2.02037,-1247.28481
2.02579,-1247.27751
2.03122,-1247.24654
2.03664,-1247.18849
2.04207,-1247.197
2.0475,-1247.24015
2.05292,-1247.26659
2.05835,-1247.39621
2.06377,-1247.42436
2.0692,-1247.57401
2.07463,-1247.66501
2.08005,-1247.74429
2.08548,-1247.74482
2.0909,-1247.72462
2.09633,-1247.73133
2.10176,-1247.79246
2.10718,-1247.91448
2.11261,-1247.99269
2.11803,-1248.12829
2.12346,-1248.31176
2.12889,-1248.34591
2.13431,-1248.35442
2.13974,-1248.32713
2.14516,-1248.40752
2.15059,-1248.40515
2.15602,-1248.40599
2.16144,-1248.50286
2.16687,-1248.5415
2.1723,-1248.50778
2.17772,-1248.45333
2.18315,-1248.54248
2.18857,-1248.6614
2.194,-1248.72074
2.19943,-1248.67751
2.20485,-1248.63627
2.21028,-1248.55814
2.2157,-1248.61885
2.22113,-1248.71846
2.22656,-1248.87687
2.23198,-1248.96344
2.23741,-1248.91343
2.24283,-1248.79444
2.24826,-1248.78559
2.25369,-1248.76078
2.25911,-1248.76673
2.26454,-1248.78002
2.26996,-1248.8109
2.27539,-1248.82814
2.28082,-1248.69058
2.28624,-1248.63888
2.29167,-1248.58824
2.29709,-1248.6865
2.30252,-1248.79061
2.30795,-1248.8776
2.31337,-1248.818
2.3188,-1248.84274
2.32422,-1248.77458
2.32965,-1248.70484
2.33508,-1248.59683
2.3405,-1248.61908
2.34593,-1248.68058
2.35135,-1248.77076
2.35678,-1248.80928
2.36221,-1248.83382
2.36763,-1248.76904
2.37306,-1248.73375
2.37848,-1248.64801
2.38391,-1248.56295
2.38934,-1248.53377
2.39476,-1248.53222
2.40019,-1248.57688
2.40561,-1248.35392
2.41104,-1248.18193
2.41647,-1248.06368
2.42189,-1248.11241
2.42732,-1248.10318
2.43274,-1247.95919
2.43817,-1247.85659
2.4436,-1247.74831
2.44902,-1247.7163
2.45445,-1247.50428
2.45987,-1247.4551
2.4653,-1247.33419
2.47073,-1247.23258
2.47615,-1247.0367
2.48158,-1247.0562
2.487,-1247.05152
2.49243,-1247.0826
2.49786,-1246.95297
2.50328,-1246.79232
2.50871,-1246.53398
2.51414,-1246.26555
2.51956,-1246.01549
2.52499,-1245.89636
2.53041,-1245.79823
2.53584,-1245.65023
2.54127,-1245.49527
2.54669,-1245.31539
2.55212,-1245.12929
2.55754,-1244.83972
2.56297,-1244.70193
2.5684,-1244.36589
2.57382,-1244.16114
2.57925,-1243.81288
2.58467,-1243.62476
2.5901,-1243.32884
2.59553,-1243.11265
2.60095,-1242.82396
2.60638,-1242.48198
2.6118,-1242.07125
2.61723,-1241.75569
2.62266,-1241.3938
2.62808,-1240.95703
2.63351,-1240.59879
2.63893,-1240.16317
2.64436,-1239.77799
2.64979,-1239.298
2.65521,-1238.86191
2.66064,-1238.22776
2.66606,-1237.71013
2.67149,-1237.18147
2.67692,-1236.77087
2.68234,-1236.15444
2.68777,-1235.49726
2.69319,-1234.74711
2.69862,-1233.97264
2.70405,-1233.20115
2.70947,-1232.46399
2.7149,-1231.67527
2.72032,-1230.80361
2.72575,-1229.88938
2.73118,-1228.78688
2.7366,-1227.65119
2.74203,-1226.50824
2.74745,-1225.40712
2.75288,-1224.11028
2.75831,-1222.73178
2.76373,-1221.26747
2.76916,-1219.71997
2.77458,-1218.05552
2.78001,-1216.33911
2.78544,-1214.45443
2.79086,-1212.4224
2.79629,-1210.30629
2.80171,-1208.04115
2.80714,-1205.597
2.81257,-1202.86464
2.81799,-1199.9888
2.82342,-1197.00981
2.82884,-1193.74247
2.83427,-1190.30689
2.8397,-1186.68122
2.84512,-1182.88013
2.85055,-1178.60561
2.85597,-1173.89691
2.8614,-1168.67232
2.86683,-1163.2367
2.87225,-1157.32096
2.87768,-1150.76599
2.88311,-1143.50237
2.88853,-1135.42108
2.89396,-1126.48099
2.89938,-1116.46262
2.90481,-1105.10468
2.91024,-1091.62229
2.91566,-1076.40294
2.92109,-1058.42845
2.92651,-1037.5324
2.93194,-1012.99843
2.93737,-984.43282
2.94279,-948.68291
2.94822,-908.24782
2.95364,-857.99376
2.95907,-799.44301
2.9645,-728.66976
2.96992,-646.67482
2.97535,-548.94973
2.98077,-440.56276
2.9862,-315.53127
2.99163,-177.97585
2.99705,-29.88185
3.00248,128.31627
3.0079,289.50218
3.01333,446.66368
3.01876,595.56981
3.02418,728.67027
3.02961,848.6024
3.03503,946.02598
3.04046,1023.68492
3.04589,1070.12852
3.05131,1099.88072
3.05674,1088.45884
3.06216,1059.59215
3.06759,993.50474
3.07302,908.91588
3.07844,796.8419
3.08387,663.04478
3.08929,512.35191
3.09472,352.04112
3.10015,188.45543
3.10557,24.60887
3.111,-130.7643
3.11642,-279.05043
3.12185,-412.19649
3.12728,-530.21242
3.1327,-634.91536
3.13813,-721.94576
3.14355,-795.76705
3.14898,-858.68557
3.15441,-911.01985
3.15983,-954.67995
3.16526,-991.55068
3.17068,-1021.51625
3.17611,-1047.28844
3.18154,-1069.00023
3.18696,-1086.98633
3.19239,-1101.69274
3.19781,-1114.23334
3.20324,-1125.21988
3.20867,-1134.84261
3.21409,-1143.00338
3.21952,-1150.23143
3.22494,-1156.57886
3.23037,-1162.43329
3.2358,-1167.4709
3.24122,-1171.87987
3.24665,-1175.88947
3.25208,-1179.50196
3.2575,-1182.74704
3.26293,-1185.64217
3.26835,-1188.16443
3.27378,-1190.47621
3.27921,-1192.59723
3.28463,-1194.58945
3.29006,-1196.24597
3.29548,-1197.56877
3.30091,-1198.64554
3.30634,-1199.56253
3.31176,-1200.28215
3.31719,-1200.98137
3.32261,-1201.51291
3.32804,-1201.92604
3.33347,-1201.92032
3.33889,-1201.77608
3.34432,-1201.47176
3.34974,-1200.92287
3.35517,-1200.18331
3.3606,-1199.29174
3.36602,-1198.06176
3.37145,-1196.4746
3.37687,-1194.29967
3.3823,-1191.65155
3.38773,-1188.32056
3.39315,-1184.77449
3.39858,-1180.26569
3.404,-1174.69211
3.40943,-1167.6684
3.41486,-1159.46213
3.42028,-1149.03449
