theta (500C),intensity (500C)
1.6514,-1524.28152
1.65682,-1524.3269
1.66225,-1524.39177
1.66767,-1524.42454
1.6731,-1524.44026
1.67853,-1524.38528
1.68395,-1524.49465
1.68938,-1524.66261
1.6948,-1524.77428
1.70023,-1524.80469
1.70566,-1524.79515
1.71108,-1524.86108
1.71651,-1524.96822
1.72193,-1525.18223
1.72736,-1525.17122
1.73279,-1525.32375
1.73821,-1525.47076
1.74364,-1525.50371
1.74906,-1525.34269
1.75449,-1525.33828
1.75992,-1525.46635
1.76534,-1525.57426
1.77077,-1525.45193
1.77619,-1525.51003
1.78162,-1525.68398
1.78705,-1525.84051
1.79247,-1525.91616
1.7979,-1525.7561
1.80333,-1525.662
1.80875,-1525.61064
1.81418,-1525.54466
1.8196,-1525.47784
1.82503,-1525.55428
1.83046,-1525.62734
1.83588,-1525.62563
1.84131,-1525.46272
1.84673,-1525.62377
1.85216,-1525.73553
1.85759,-1525.83592
1.86301,-1525.68895
1.86844,-1525.61543
1.87386,-1525.5301
1.87929,-1525.49911
1.88472,-1525.39093
1.89014,-1525.58868
1.89557,-1525.66757
1.90099,-1525.66071
1.90642,-1525.58657
1.91185,-1525.60104
1.91727,-1525.66006
1.9227,-1525.64272
1.92812,-1525.65844
1.93355,-1525.48263
1.93898,-1525.51725
1.9444,-1525.5041
1.94983,-1525.56931
1.95525,-1525.56918
1.96068,-1525.64876
1.96611,-1525.4731
1.97153,-1525.33293
1.97696,-1525.34531
1.98238,-1525.37439
1.98781,-1525.27023
1.99324,-1525.06556
1.99866,-1525.00431
2.00409,-1524.90251
2.00951,-1524.86872
2.01494,-1524.87529
2.02037,-1524.83336
2.02579,-1524.76786
2.03122,-1524.74181
2.03664,-1524.71127
2.04207,-1524.80869
2.0475,-1524.95098
2.05292,-1524.92777
2.05835,-1524.72122
2.06377,-1524.72778
2.0692,-1524.74988
2.07463,-1524.81943
2.08005,-1524.94099
2.08548,-1525.0144
2.0909,-1525.1518
2.09633,-1525.12497
2.10176,-1525.1714
2.10718,-1525.05985
2.11261,-1525.15855
2.11803,-1525.10648
2.12346,-1525.12595
2.12889,-1525.07006
2.13431,-1525.00567
2.13974,-1525.00723
2.14516,-1525.161
2.15059,-1525.25863
2.15602,-1525.28318
2.16144,-1525.24471
2.16687,-1525.18253
2.1723,-1525.17106
2.17772,-1525.10269
2.18315,-1525.02216
2.18857,-1525.07074
2.194,-1525.20124
2.19943,-1525.04629
2.20485,-1524.95185
2.21028,-1524.8289
2.2157,-1525.02496
2.22113,-1525.03714
2.22656,-1525.03965
2.23198,-1524.8057
2.23741,-1524.62473
2.24283,-1524.44853
2.24826,-1524.39779
2.25369,-1524.47108
2.25911,-1524.42212
2.26454,-1524.34628
2.26996,-1524.25066
2.27539,-1524.27808
2.28082,-1524.14641
2.28624,-1523.94058
2.29167,-1523.83847
2.29709,-1523.88686
2.30252,-1523.81483
2.30795,-1523.70833
2.31337,-1523.58678
2.3188,-1523.54787
2.32422,-1523.4734
2.32965,-1523.34718
2.33508,-1523.24678
2.3405,-1523.23103
2.34593,-1523.22508
2.35135,-1523.0667
2.35678,-1522.95763
2.36221,-1522.84516
2.36763,-1522.61227
2.37306,-1522.43399
2.37848,-1522.28935
2.38391,-1522.10539
2.38934,-1522.01945
2.39476,-1521.88264
2.40019,-1521.67239
2.40561,-1521.36779
2.41104,-1521.21139
2.41647,-1520.99778
2.42189,-1520.92497
2.42732,-1520.65327
2.43274,-1520.31537
2.43817,-1520.11183
2.4436,-1519.96783
2.44902,-1519.75123
2.45445,-1519.41757
2.45987,-1519.16859
2.4653,-1518.87856
2.47073,-1518.52371
2.47615,-1518.18514
2.48158,-1517.96101
2.487,-1517.61472
2.49243,-1517.23543
2.49786,-1516.79709
2.50328,-1516.48231
2.50871,-1516.19995
2.51414,-1515.87766
2.51956,-1515.48724
2.52499,-1515.05727
2.53041,-1514.68262
2.53584,-1514.31541
2.54127,-1513.88108
2.54669,-1513.3719
2.55212,-1512.81979
2.55754,-1512.27941
2.56297,-1511.73874
2.5684,-1511.27018
2.57382,-1510.87388
2.57925,-1510.31637
2.58467,-1509.71922
2.5901,-1509.08036
2.59553,-1508.48349
2.60095,-1507.87124
2.60638,-1507.20607
2.6118,-1506.32924
2.61723,-1505.63251
2.62266,-1504.90551
2.62808,-1504.2691
2.63351,-1503.4344
2.63893,-1502.63618
2.64436,-1501.79174
2.64979,-1500.98519
2.65521,-1500.13061
2.66064,-1499.08434
2.66606,-1498.10414
2.67149,-1496.99355
2.67692,-1495.87157
2.68234,-1494.60292
2.68777,-1493.31706
2.69319,-1492.02792
2.69862,-1490.67272
2.70405,-1489.16758
2.70947,-1487.63319
2.7149,-1486.11481
2.72032,-1484.51675
2.72575,-1482.71546
2.73118,-1480.87988
2.7366,-1478.9683
2.74203,-1476.92013
2.74745,-1474.75518
2.75288,-1472.33276
2.75831,-1469.884
2.76373,-1467.23289
2.76916,-1464.2326
2.77458,-1461.06301
2.78001,-1457.79717
2.78544,-1454.32046
2.79086,-1450.6789
2.79629,-1446.63262
2.80171,-1442.28825
2.80714,-1437.43139
2.81257,-1432.28271
2.81799,-1426.78396
2.82342,-1420.92779
2.82884,-1414.47948
2.83427,-1407.77991
2.8397,-1400.34721
2.84512,-1392.40771
2.85055,-1383.50446
2.85597,-1373.96832
2.8614,-1363.39681
2.86683,-1352.18633
2.87225,-1339.7066
2.87768,-1326.15069
2.88311,-1311.16335
2.88853,-1294.73129
2.89396,-1276.99441
2.89938,-1257.47054
2.90481,-1236.26281
2.91024,-1212.05636
2.91566,-1186.37899
2.92109,-1157.22585
2.92651,-1125.91579
2.93194,-1091.43249
2.93737,-1054.5924
2.94279,-1012.83324
2.94822,-969.15978
2.95364,-920.67663
2.95907,-869.77734
2.9645,-814.32067
2.96992,-756.04125
2.97535,-694.79375
2.98077,-632.15478
2.9862,-567.22521
2.99163,-501.79418
2.99705,-436.45654
3.00248,-371.4154
3.0079,-308.63683
3.01333,-250.60143
3.01876,-196.71545
3.02418,-150.82201
3.02961,-110.2069
3.03503,-78.86437
3.04046,-55.53149
3.04589,-43.17089
3.05131,-38.20873
3.05674,-46.35741
3.06216,-61.82482
3.06759,-89.34655
3.07302,-123.5902
3.07844,-166.73913
3.08387,-216.59728
3.08929,-273.03564
3.09472,-333.44982
3.10015,-396.93346
3.10557,-463.083
3.111,-528.96508
3.11642,-596.22674
3.12185,-661.68108
3.12728,-725.45043
3.1327,-786.87066
3.13813,-843.71441
3.14355,-896.55071
3.14898,-947.096
3.15441,-993.54961
3.15983,-1036.37682
3.16526,-1075.88012
3.17068,-1111.84606
3.17611,-1145.22039
3.18154,-1175.93551
3.18696,-1203.15505
3.19239,-1226.94674
3.19781,-1248.29223
3.20324,-1268.30416
3.20867,-1286.48104
3.21409,-1302.60708
3.21952,-1317.21471
3.22494,-1330.3886
3.23037,-1342.7304
3.2358,-1353.74233
3.24122,-1363.60244
3.24665,-1372.74689
3.25208,-1380.85041
3.2575,-1388.23006
3.26293,-1394.77166
3.26835,-1400.7486
3.27378,-1405.97938
3.27921,-1410.64626
3.28463,-1414.97384
3.29006,-1418.77001
3.29548,-1421.97166
3.30091,-1424.46256
3.30634,-1426.46639
3.31176,-1428.19537
