2theta (400C),intensity (400C)
0.36387,-2193.19949
0.36925,-2192.74197
0.37463,-2191.76634
0.38001,-2190.26156
0.38539,-2189.65924
0.39077,-2189.53572
0.39615,-2189.95293
0.40153,-2189.44018
0.40691,-2188.73501
0.41229,-2186.40053
0.41767,-2185.97417
0.42305,-2185.44983
0.42843,-2185.44797
0.43382,-2185.62883
0.4392,-2185.44689
0.44458,-2184.72781
0.44996,-2184.2029
0.45534,-2183.93728
0.46072,-2183.84753
0.4661,-2183.62083
0.47148,-2183.93252
0.47686,-2183.33455
0.48224,-2182.81027
0.48762,-2182.33139
0.493,-2181.9273
0.49838,-2181.61221
0.50376,-2181.06265
0.50914,-2180.91375
0.51452,-2180.81431
0.5199,-2180.52109
0.52528,-2180.36648
0.53066,-2179.97543
0.53604,-2179.45521
0.54142,-2178.92004
0.5468,-2178.65888
0.55218,-2178.15896
0.55756,-2177.78342
0.56294,-2177.11006
0.56832,-2176.27597
0.5737,-2175.59893
0.57908,-2173.6261
0.58447,-2170.57945
0.58985,-2166.01004
0.59523,-2160.18699
0.60061,-2151.4524
0.60599,-2143.42979
0.61137,-2135.83879
0.61675,-2128.0884
0.62213,-2119.7377
0.62751,-2110.94444
0.63289,-2100.41422
0.63827,-2091.91932
0.64365,-2082.55005
0.64903,-2073.59281
0.65441,-2066.02643
0.65979,-2062.41083
0.66517,-2057.15067
0.67055,-2053.98227
0.67593,-2047.22715
0.68131,-2044.18363
0.68669,-2036.57241
0.69207,-2031.77111
0.69745,-2025.46737
0.70283,-2019.56112
0.70821,-2011.79381
0.71359,-2005.69239
0.71897,-1999.0945
0.72435,-1993.38031
0.72974,-1988.15035
0.73512,-1983.11919
0.7405,-1978.38501
0.74588,-1974.33942
0.75126,-1970.78455
0.75664,-1966.99247
0.76202,-1964.23587
0.7674,-1961.30014
0.77278,-1959.51584
0.77816,-1957.19437
0.78354,-1955.71961
0.78892,-1954.11051
0.7943,-1953.96198
0.79968,-1953.14267
0.80506,-1953.67853
0.81044,-1953.45182
0.81582,-1954.01746
0.8212,-1954.0611
0.82658,-1955.10337
0.83196,-1955.5618
0.83734,-1957.14212
0.84272,-1958.27799
0.8481,-1960.07117
0.85348,-1961.6269
0.85886,-1963.51401
0.86424,-1965.90171
0.86962,-1968.32444
0.875,-1970.91541
0.88039,-1972.98899
0.88577,-1975.20621
0.89115,-1977.50077
0.89653,-1980.00299
0.90191,-1982.07987
0.90729,-1984.11274
0.91267,-1986.30333
0.91805,-1988.67635
0.92343,-1990.54279
0.92881,-1992.42489
0.93419,-1994.19777
0.93957,-1996.12027
0.94495,-1997.82528
0.95033,-1999.63977
0.95571,-2001.42524
0.96109,-2002.90461
0.96647,-2004.40096
0.97185,-2005.69492
0.97723,-2007.24567
0.98261,-2008.5458
0.98799,-2010.01093
0.99337,-2011.0775
0.99875,-2012.21508
1.00413,-2013.14382
1.00951,-2014.53959
1.01489,-2015.79081
1.02027,-2017.08861
1.02565,-2018.16042
1.03104,-2019.55858
1.03642,-2020.76535
1.0418,-2021.74965
1.04718,-2022.77488
1.05256,-2023.83745
1.05794,-2025.12359
1.06332,-2026.03843
1.0687,-2026.87357
1.07408,-2027.4661
1.07946,-2028.31995
1.08484,-2029.31496
1.09022,-2030.43227
1.0956,-2031.02062
1.10098,-2031.64541
1.10636,-2032.30436
1.11174,-2033.13332
1.11712,-2034.02771
1.1225,-2034.626
1.12788,-2035.20594
1.13326,-2035.78664
1.13864,-2036.30739
1.14402,-2036.60971
1.1494,-2037.02199
1.15478,-2037.52292
1.16016,-2038.34026
1.16554,-2038.9486
1.17092,-2039.35311
1.1763,-2039.62711
1.18169,-2040.17093
1.18707,-2040.64016
1.19245,-2041.13919
