Angle,Intensity
3.02,3001.5
3.04,2968
3.06,2935.3
3.08,2900.9
3.1,2873.8
3.12,2851.2
3.14,2754.4
3.16,2664.2
3.18,2624.1
3.2,2639.9
3.22,2658.9
3.24,2641.5
3.26,2570.3
3.28,2482.5
3.3,2489.3
3.32,2470.1
3.34,2430.6
3.36,2403.9
3.38,2443.5
3.4,2363
3.42,2350.3
3.44,2339.7
3.46,2256.7
3.48,2242.2
3.5,2216.9
3.52,2200.2
3.54,2202.5
3.56,2196.4
3.58,2202
3.6,2199.3
3.62,2184.1
3.64,2178
3.66,2119.4
3.68,2093.1
3.7,2104.5
3.72,2106.8
3.74,2107
3.76,2093.8
3.78,2069.7
3.8,2042.3
3.82,1976.4
3.84,2008
3.86,2037.4
3.88,1949.5
3.9,2056.8
3.92,2052.2
3.94,2014.4
3.96,1999
3.98,1972.4
4,2004.3
4.02,2051.8
4.04,2082.8
4.06,2029.5
4.08,2083.3
4.1,2098.5
4.12,2067.2
4.14,2088.5
4.16,2067.5
4.18,2071.6
4.2,2089.3
4.22,2078.6
4.24,2111.1
4.26,2050.9
4.28,1974.4
4.3,1982
4.32,1975.9
4.34,1974.5
4.36,1989.7
4.38,2028.1
4.4,2060.1
4.42,2004.3
4.44,1944.9
4.46,1925.5
4.48,1961.3
4.5,1990.9
4.52,1996.2
4.54,1978.3
4.56,1958.5
4.58,1952.7
4.6,1950.6
4.62,1956.4
4.64,1982.3
4.66,1955.5
4.68,1942.6
4.7,1924.3
4.72,1870.2
4.74,1940.6
4.76,1911.5
4.78,1872.2
4.8,1894.4
4.82,1919.6
4.84,1873.8
4.86,1843.5
4.88,1863.2
4.9,1864.7
4.92,1875.4
4.94,1886.5
4.96,1899.1
4.98,1927.2
5,1892.7
5.02,1920.2
5.04,1956.4
5.06,1837.6
5.08,1845.9
5.1,1897
5.12,1934.4
5.14,1892.5
5.16,1822
5.18,1795.4
5.2,1808.3
5.22,1846.9
5.24,1763.9
5.26,1793.6
5.28,1834.3
5.3,1845.7
5.32,1943.2
5.34,1937.5
5.36,1912.2
5.38,1896.2
5.4,1891.6
5.42,1925.6
5.44,1938.6
5.46,1920.8
5.48,1876.6
5.5,1838.7
5.52,1845.7
5.54,1859.6
5.56,1820.8
5.58,1911.8
5.6,1923.7
5.62,1896.9
5.64,1876
5.66,1899.6
5.68,1925.9
5.7,1950.5
5.72,1968.8
5.74,1966.5
5.76,1966
5.78,1972.9
5.8,1984.6
5.82,1982.3
5.84,1992.4
5.86,1998
5.88,2005.7
5.9,2039.9
5.92,2099.9
5.94,2082.7
5.96,2034.2
5.98,2041.8
6,2119.7
6.02,2126.4
6.04,2100
6.06,2085.4
6.08,2159.3
6.1,2183.8
6.12,2193.5
6.14,2215.9
6.16,2300.4
6.18,2326.7
6.2,2385.4
6.22,2482.6
6.24,2486.4
6.26,2596.5
6.28,2677.7
6.3,2751.9
6.32,2960.5
6.34,3057.9
6.36,3192.6
6.38,3380.3
6.4,3617.2
6.42,3956
6.44,4378.9
6.46,4933.7
6.48,5657.6
6.5,6147.3
6.52,5943.7
6.54,4968.3
6.56,3317.7
6.58,2380.9
6.6,2068.9
6.62,2010.5
6.64,2022.6
6.66,1971.5
6.68,1921.2
6.7,1863.4
6.72,1803.7
6.74,1763.3
6.76,1767.2
6.78,1805
6.8,1834.6
6.82,1784.3
6.84,1731.1
6.86,1715.9
6.88,1726.5
6.9,1746.1
6.92,1752.2
6.94,1763.6
6.96,1769.9
6.98,1764.1
7,1752.7
7.02,1757.6
7.04,1752
7.06,1732.7
7.08,1744.9
7.1,1713.1
7.12,1706.6
7.14,1732.5
7.16,1755.4
7.18,1735.1
7.2,1717.9
7.22,1719.7
7.24,1757
7.26,1765.5
7.28,1755.5
7.3,1725.9
7.32,1676.3
7.34,1722.8
7.36,1712.2
7.38,1694.1
7.4,1702.8
7.42,1684.5
7.44,1672
7.46,1651.5
7.48,1627.4
7.5,1661.7
7.52,1702.2
7.54,1750.2
7.56,1784
7.58,1731.5
7.6,1705
7.62,1731.1
7.64,1762.2
7.66,1695.2
7.68,1641
7.7,1619.6
7.72,1645.8
7.74,1734.9
7.76,1754.8
7.78,1703.6
7.8,1670.6
7.82,1717.9
7.84,1682.1
7.86,1731.5
7.88,1746.6
7.9,1698
7.92,1789.4
7.94,1768.3
7.96,1739.5
7.98,1732.8
8,1737.4
8.02,1773
8.04,1733.1
8.06,1677.4
8.08,1774.1
8.1,1736.4
8.12,1750.8
8.14,1786.6
8.16,1782
8.18,1782
8.2,1772.7
8.22,1802.8
8.24,1902.9
8.26,1880.8
8.28,1859.3
8.3,1865.8
8.32,1910.8
8.34,1962.6
8.36,1934.7
8.38,1952.2
8.4,2025.4
8.42,2033.8
8.44,2198
8.46,2274
8.48,2279.9
8.5,2365.2
8.52,2590
8.54,2782.9
8.56,2954.4
8.58,3142.5
8.6,3321.7
8.62,3774.5
8.64,4363.8
8.66,4930.1
8.68,4955.2
8.7,4136.5
8.72,3107.9
8.74,2282.8
8.76,1971.3
8.78,1845.2
8.8,1815.9
8.82,1816.1
8.84,1701.1
8.86,1664.6
8.88,1668.3
8.9,1688.5
8.92,1686.2
8.94,1663.1
8.96,1670.8
8.98,1717.5
9,1806.6
9.02,1769.7
9.04,1731.9
9.06,1737.3
9.08,1815.5
9.1,1711.9
9.12,1749.4
9.14,1813
9.16,1838.5
9.18,1896.4
9.2,1887
9.22,1906.3
9.24,1975.7
9.26,2025.2
9.28,2004.1
9.3,2093.3
9.32,2238.9
9.34,2192.5
9.36,2282.3
9.38,2354.7
9.4,2435.6
9.42,2596.3
9.44,2690.9
9.46,2848.5
9.48,3019.3
9.5,3149.8
9.52,3379.1
9.54,3702.7
9.56,4013.1
9.58,4275
9.6,4842.4
9.62,5381
9.64,6016.6
9.66,6852.9
9.68,8134.6
9.7,9680.1
9.72,11405.4
9.74,12755.2
9.76,12232.7
9.78,8511.9
9.8,5219.8
9.82,3013.4
9.84,2190.1
9.86,2001.8
9.88,1949.9
9.9,1913.8
9.92,1791.3
9.94,1806.5
9.96,1822.3
9.98,1809.7
10,1752.1
10.02,1689.7
10.04,1729.8
10.06,1731.1
10.08,1667.5
10.1,1728.4
10.12,1676.1
10.14,1654.2
10.16,1674.8
10.18,1658.8
10.2,1668.5
10.22,1674.9
10.24,1669.6
10.26,1645.3
10.28,1631
10.3,1661.8
10.32,1695.8
10.34,1683.2
10.36,1707.6
10.38,1678.4
10.4,1649.2
10.42,1655.2
10.44,1629.3
10.46,1634.5
10.48,1635.9
10.5,1623.2
10.52,1632.3
10.54,1577.3
10.56,1594.1
10.58,1664.2
10.6,1602.5
10.62,1615.1
10.64,1604.8
10.66,1582.2
10.68,1599
10.7,1627.9
10.72,1634.7
10.74,1629.3
10.76,1627
10.78,1611
10.8,1614.9
10.82,1607.9
10.84,1574.7
10.86,1652.4
10.88,1678.8
10.9,1656.5
10.92,1598.7
10.94,1579.6
10.96,1549.5
10.98,1516.4
11,1513.7
11.02,1648.5
11.04,1619
11.06,1620
11.08,1641.2
11.1,1588.6
11.12,1601.3
11.14,1579.3
11.16,1551.4
11.18,1565.9
11.2,1537.3
11.22,1538.9
11.24,1565.7
11.26,1605.2
11.28,1532
11.3,1558.1
11.32,1573.8
11.34,1530
11.36,1495
11.38,1476.4
11.4,1504.6
11.42,1566.1
11.44,1572.2
11.46,1575.6
11.48,1586.6
11.5,1597.8
11.52,1588.7
11.54,1574
11.56,1552.2
11.58,1553.9
11.6,1620.9
11.62,1517.2
11.64,1510.1
11.66,1543.8
11.68,1560.8
11.7,1533.4
11.72,1530.5
11.74,1540.4
11.76,1545
11.78,1459.7
11.8,1504.7
11.82,1535.4
11.84,1511.2
11.86,1476.2
11.88,1487.9
11.9,1517.6
11.92,1532.1
11.94,1466.6
11.96,1500.7
11.98,1504.3
12,1490.6
12.02,1499.8
12.04,1413.9
12.06,1430.9
12.08,1483.4
12.1,1503
12.12,1558.6
12.14,1534.9
12.16,1495.2
12.18,1476.4
12.2,1459.6
12.22,1493
12.24,1498.6
12.26,1462.8
12.28,1455.2
12.3,1446.9
12.32,1470.5
12.34,1511.7
12.36,1514.7
12.38,1452.2
12.4,1436.2
12.42,1432.7
12.44,1367.2
12.46,1419.5
12.48,1433
12.5,1451.4
12.52,1518.9
12.54,1442
12.56,1440.1
12.58,1446
12.6,1424.7
12.62,1466.6
12.64,1424
12.66,1402.8
12.68,1434.1
12.7,1461.5
12.72,1485.1
12.74,1483.3
12.76,1466.9
12.78,1480.6
12.8,1419.8
12.82,1408.3
12.84,1442.4
12.86,1488.1
12.88,1435.3
12.9,1473.4
12.92,1523.4
12.94,1491.6
12.96,1469.5
12.98,1538.3
13,1616.2
13.02,1646.2
13.04,1636.3
13.06,1675.5
13.08,1692.2
13.1,1674.5
13.12,1721
13.14,1783.2
13.16,1838.5
13.18,1885.4
13.2,1937.2
13.22,2021.5
13.24,2102.8
13.26,2197.4
13.28,2343.6
13.3,2501.4
13.32,2690.4
13.34,2916
13.36,3182.2
13.38,3492.2
13.4,3906.2
13.42,4388.6
13.44,4918.8
13.46,5589
13.48,6076.7
13.5,6334.3
13.52,6242
13.54,5258.8
13.56,4208.8
13.58,3341.5
13.6,2717.4
13.62,2305.4
13.64,2094.5
