Angle,Intensity
10.28,1526.5
10.3,1499.1
10.32,1484.9
10.34,1500
10.36,1499.2
10.38,1518.6
10.4,1518.2
10.42,1474.2
10.44,1462
10.46,1482.6
10.48,1521.6
10.5,1553.6
10.52,1473.6
10.54,1471.5
10.56,1493.2
10.58,1515.6
10.6,1513.3
10.62,1490.3
10.64,1506.1
10.66,1534.3
10.68,1503.9
10.7,1527
10.72,1552.7
10.74,1545.2
10.76,1466
10.78,1504.1
10.8,1492.5
10.82,1484.1
10.84,1516.7
10.86,1511.3
10.88,1508.9
10.9,1515.6
10.92,1530.9
10.94,1530.1
10.96,1496.1
10.98,1487.8
11,1508.6
11.02,1506.3
11.04,1525.2
11.06,1526.5
11.08,1497.9
11.1,1427.8
11.12,1448.5
11.14,1480.6
11.16,1505.9
11.18,1509
11.2,1487.9
11.22,1477.9
11.24,1474.2
11.26,1471.8
11.28,1468
11.3,1470.4
11.32,1477.2
11.34,1490.9
11.36,1534.3
11.38,1504
11.4,1485.7
11.42,1484
11.44,1409.3
11.46,1426.6
11.48,1431.8
11.5,1430.7
11.52,1480.2
11.54,1506.5
11.56,1496.5
11.58,1452.1
11.6,1378.2
11.62,1427.2
11.64,1445.5
11.66,1438.6
11.68,1416.2
11.7,1420.8
11.72,1478.8
11.74,1508.1
11.76,1471.4
11.78,1446.2
11.8,1465.7
11.82,1450.3
11.84,1386.4
11.86,1334.6
11.88,1373.8
11.9,1399.4
11.92,1397.6
11.94,1386.9
11.96,1393
11.98,1435.4
12,1482
12.02,1482
12.04,1447.1
12.06,1411.8
12.08,1393.2
12.1,1404.7
12.12,1397.1
12.14,1358.7
12.16,1341.2
12.18,1367.3
12.2,1360.5
12.22,1358.4
12.24,1346.5
12.26,1326.2
12.28,1327.8
12.3,1347.3
12.32,1345.9
12.34,1331.7
12.36,1348.4
12.38,1419
12.4,1417.5
12.42,1373.5
12.44,1357.5
12.46,1372.5
12.48,1357.1
12.5,1344.8
12.52,1369.6
12.54,1354.4
12.56,1369.6
12.58,1383.9
12.6,1374.2
12.62,1319.3
12.64,1334.2
12.66,1366
12.68,1375.2
12.7,1276.2
12.72,1305.8
12.74,1349.1
12.76,1372.1
12.78,1358.4
12.8,1343.3
12.82,1343.7
12.84,1355.1
12.86,1366.5
12.88,1356.1
12.9,1356.4
12.92,1378.2
12.94,1428.5
12.96,1401.8
12.98,1403.1
13,1438.5
13.02,1502.8
13.04,1499.7
13.06,1541
13.08,1580.7
13.1,1602.5
