shift1,intensity1,shift2,intensity2,shift3,intensity3
-490.557,-0.200698,-490.557,0.232248,-490.557,0.20214
-490.148,-0.183635,-490.148,0.238257,-490.148,0.494073
-489.738,-0.223504,-489.738,0.228345,-489.738,0.607028
-489.328,-0.252734,-489.328,0.28163,-489.328,0.458334
-488.918,-0.285456,-488.918,0.290199,-488.918,0.284186
-488.508,-0.183097,-488.508,0.290361,-488.508,0.237872
-488.098,0.0974914,-488.098,0.486058,-488.098,0.208595
-487.688,0.348435,-487.688,0.79026,-487.688,0.0636745
-487.279,0.456445,-487.279,1.01481,-487.279,-0.208967
-486.869,0.490744,-486.869,1.19333,-486.869,-0.399181
-486.459,0.466416,-486.459,1.32945,-486.459,-0.483394
-486.049,0.324547,-486.049,1.21333,-486.049,-0.539262
-485.639,0.254683,-485.639,0.931902,-485.639,-0.571611
-485.229,0.329776,-485.229,0.671766,-485.229,-0.532326
-484.819,0.394002,-484.819,0.412495,-484.819,-0.391259
-484.41,0.412546,-484.41,0.166529,-484.41,-0.225781
-484,0.347814,-484,0.0667583,-484,-0.00566825
-483.59,0.194405,-483.59,0.0994543,-483.59,0.18297
-483.18,0.101822,-483.18,0.16193,-483.18,0.335374
-482.77,0.186398,-482.77,0.218722,-482.77,0.423767
-482.36,0.312992,-482.36,0.236541,-482.36,0.282445
-481.95,0.428389,-481.95,0.284308,-481.95,0.116197
-481.541,0.648488,-481.541,0.442106,-481.541,0.0534965
-481.131,0.620045,-481.131,0.616035,-481.131,0.0308915
-480.721,0.33349,-480.721,0.773669,-480.721,0.0185017
-480.311,0.105567,-480.311,0.906179,-480.311,0.0153244
-479.901,-0.0817426,-479.901,0.994549,-479.901,0.0215617
-479.491,-0.269634,-479.491,0.957239,-479.491,0.0777043
-479.081,-0.381201,-479.081,0.82579,-479.081,0.30505
-478.672,-0.316137,-478.672,0.736544,-478.672,0.482839
-478.262,-0.137882,-478.262,0.720902,-478.262,0.388508
-477.852,-0.0649596,-477.852,0.753697,-477.852,0.125277
-477.442,-0.261029,-477.442,0.805081,-477.442,-0.151172
-477.032,-0.528395,-477.032,0.759316,-477.032,-0.2756
-476.622,-0.643767,-476.622,0.54027,-476.622,-0.199668
-476.212,-0.507961,-476.212,0.280377,-476.212,-0.009086
-475.803,-0.292607,-475.803,0.214337,-475.803,0.159536
-475.393,-0.195014,-475.393,0.319826,-475.393,0.237864
-474.983,-0.156249,-474.983,0.380086,-474.983,0.224395
-474.573,-0.0332727,-474.573,0.314705,-474.573,0.0568983
-474.163,0.0942248,-474.163,0.1873,-474.163,-0.307841
-473.753,0.0748907,-473.753,0.181788,-473.753,-0.520787
-473.343,-0.138025,-473.343,0.265699,-473.343,-0.377478
-472.934,-0.521806,-472.934,0.392154,-472.934,-0.0209394
-472.524,-0.997293,-472.524,0.480481,-472.524,0.212482
-472.114,-1.25777,-472.114,0.377142,-472.114,0.154714
-471.704,-1.04505,-471.704,0.157788,-471.704,0.0772935
-471.294,-0.668831,-471.294,0.0313082,-471.294,0.0874791
-470.884,-0.418803,-470.884,0.0210198,-470.884,0.0322873
-470.474,-0.267956,-470.474,0.00777589,-470.474,-0.0421223
-470.065,-0.136738,-470.065,-0.0201208,-470.065,0.0146961
-469.655,-0.0523747,-469.655,0.0256388,-469.655,0.208385
-469.245,-0.0259062,-469.245,0.0818092,-469.245,0.514047
-468.835,-0.151022,-468.835,0.147805,-468.835,0.769078
-468.425,-0.42278,-468.425,0.296873,-468.425,0.719725
-468.015,-0.595389,-468.015,0.409014,-468.015,0.277266
-467.605,-0.525931,-467.605,0.561493,-467.605,-0.117949
-467.195,-0.209133,-467.195,0.813864,-467.195,-0.282932
-466.786,0.348494,-466.786,1.06299,-466.786,-0.531899
-466.376,0.767283,-466.376,1.23345,-466.376,-0.827523
-465.966,0.799338,-465.966,1.16548,-465.966,-0.947281
-465.556,0.698787,-465.556,0.90509,-465.556,-0.82162
-465.146,0.606346,-465.146,0.770715,-465.146,-0.588134
-464.736,0.613608,-464.736,0.95122,-464.736,-0.354741
-464.326,0.765058,-464.326,1.13583,-464.326,0.082271
-463.917,0.966202,-463.917,1.11116,-463.917,0.480068
-463.507,1.14488,-463.507,0.992801,-463.507,0.469351
-463.097,1.22333,-463.097,0.756841,-463.097,0.298697
-462.687,1.18361,-462.687,0.532869,-462.687,0.258247
-462.277,1.19433,-462.277,0.468167,-462.277,0.266021
-461.867,1.25403,-461.867,0.542677,-461.867,0.141749
-461.457,1.22886,-461.457,0.768667,-461.457,-0.0580294
-461.048,1.11982,-461.048,0.857943,-461.048,-0.279953
-460.638,0.964527,-460.638,0.769811,-460.638,-0.525433
-460.228,0.831444,-460.228,0.783806,-460.228,-0.679937
-459.818,0.734782,-459.818,0.854024,-459.818,-0.767446
-459.408,0.611635,-459.408,0.863647,-459.408,-0.679977
-458.998,0.560236,-458.998,0.924553,-458.998,-0.442771
-458.588,0.634196,-458.588,1.04507,-458.588,-0.228547
-458.179,0.74618,-458.179,1.06507,-458.179,-0.0790263
-457.769,0.845525,-457.769,0.926092,-457.769,-0.0696731
-457.359,0.810615,-457.359,0.760001,-457.359,-0.214979
-456.949,0.680824,-456.949,0.81314,-456.949,-0.351528
-456.539,0.617424,-456.539,1.00442,-456.539,-0.245196
-456.129,0.567591,-456.129,1.17127,-456.129,-0.0138696
-455.719,0.508023,-455.719,1.13499,-455.719,0.0781467
-455.31,0.437145,-455.31,0.952497,-455.31,0.0404658
-454.9,0.350177,-454.9,0.728478,-454.9,0.146026
-454.49,0.329245,-454.49,0.560868,-454.49,0.362313
-454.08,0.365897,-454.08,0.555285,-454.08,0.479369
-453.67,0.510403,-453.67,0.561689,-453.67,0.526744
-453.26,0.762544,-453.26,0.510971,-453.26,0.629199
-452.85,0.839818,-452.85,0.482522,-452.85,0.663718
-452.441,0.688885,-452.441,0.605185,-452.441,0.555863
-452.031,0.572093,-452.031,0.724248,-452.031,0.43767
-451.621,0.524496,-451.621,0.603533,-451.621,0.270841
-451.211,0.473974,-451.211,0.373848,-451.211,-0.0628047
-450.801,0.420416,-450.801,0.310777,-450.801,-0.388291
-450.391,0.337794,-450.391,0.441645,-450.391,-0.699887
-449.981,0.341072,-449.981,0.726491,-449.981,-0.996939
-449.572,0.496884,-449.572,1.05466,-449.572,-1.1368
-449.162,0.567397,-449.162,1.22602,-449.162,-1.14898
-448.752,0.318743,-448.752,1.15666,-448.752,-1.05958
-448.342,-0.0160752,-448.342,0.911379,-448.342,-0.908076
-447.932,-0.165747,-447.932,0.671365,-447.932,-0.808262
-447.522,-0.0869587,-447.522,0.545636,-447.522,-0.877523
-447.112,0.0446437,-447.112,0.569546,-447.112,-0.984371
-446.703,0.04826,-446.703,0.69287,-446.703,-0.915648
-446.293,0.00761699,-446.293,0.802672,-446.293,-0.678819
-445.883,0.109761,-445.883,0.790417,-445.883,-0.509431
-445.473,0.435404,-445.473,0.690154,-445.473,-0.48196
-445.063,0.757328,-445.063,0.546478,-445.063,-0.394837
-444.653,0.968513,-444.653,0.317606,-444.653,-0.202391
-444.243,1.01917,-444.243,0.0344523,-444.243,-0.0401667
-443.834,0.942938,-443.834,-0.139525,-443.834,0.0840435
-443.424,0.849363,-443.424,-0.00782661,-443.424,0.11583
-443.014,0.675394,-443.014,0.243702,-443.014,0.0926405
-442.604,0.384728,-442.604,0.459784,-442.604,0.168595
-442.194,0.146592,-442.194,0.587065,-442.194,0.331459
-441.784,-0.028123,-441.784,0.623254,-441.784,0.454374
-441.374,-0.11266,-441.374,0.660919,-441.374,0.501071
-440.965,-0.121168,-440.965,0.566811,-440.965,0.716878
-440.555,-0.143812,-440.555,0.434666,-440.555,0.915488
-440.145,-0.196186,-440.145,0.294955,-440.145,0.802711
-439.735,-0.2379,-439.735,0.162141,-439.735,0.606907
-439.325,-0.236832,-439.325,0.145455,-439.325,0.550086
-438.915,-0.233478,-438.915,0.320518,-438.915,0.723552
-438.505,-0.222725,-438.505,0.651722,-438.505,0.800186
-438.096,-0.285255,-438.096,0.92621,-438.096,0.626543
-437.686,-0.375278,-437.686,1.01585,-437.686,0.384793
-437.276,-0.300149,-437.276,0.938993,-437.276,0.145111
-436.866,-0.0106508,-436.866,0.892394,-436.866,-0.222356
-436.456,0.282154,-436.456,0.965239,-436.456,-0.638905
-436.046,0.450205,-436.046,1.06684,-436.046,-0.901061
-435.636,0.496658,-435.636,1.13463,-435.636,-0.999546
-435.227,0.438106,-435.227,1.19724,-435.227,-0.830975
-434.817,0.234417,-434.817,1.26742,-434.817,-0.349695
-434.407,-0.0766936,-434.407,1.35667,-434.407,0.171187
-433.997,-0.268222,-433.997,1.45472,-433.997,0.379866
-433.587,-0.164726,-433.587,1.54265,-433.587,0.226305
-433.177,0.118476,-433.177,1.46646,-433.177,-0.0791137
-432.767,0.377895,-432.767,1.23474,-432.767,-0.154266
-432.358,0.452642,-432.358,1.05108,-432.358,0.0694717
-431.948,0.354069,-431.948,0.935721,-431.948,0.253462
-431.538,0.230526,-431.538,0.868212,-431.538,0.228701
-431.128,0.198195,-431.128,0.866761,-431.128,0.245883
-430.718,0.257235,-430.718,0.832161,-430.718,0.347727
-430.308,0.30605,-430.308,0.765318,-430.308,0.345388
-429.898,0.274651,-429.898,0.76037,-429.898,0.271509
-429.489,0.0916558,-429.489,0.845116,-429.489,0.156077
-429.079,-0.171169,-429.079,1.00836,-429.079,0.0594387
-428.669,-0.280827,-428.669,1.18734,-428.669,0.0779628
-428.259,-0.237538,-428.259,1.27698,-428.259,0.101349
-427.849,-0.305748,-427.849,1.28121,-427.849,0.0970018
-427.439,-0.522707,-427.439,1.26106,-427.439,0.200849
-427.029,-0.63329,-427.029,1.17086,-427.029,0.388549
-426.62,-0.547254,-426.62,0.986169,-426.62,0.504049
-426.21,-0.340024,-426.21,0.769803,-426.21,0.495982
-425.8,-0.0972432,-425.8,0.510144,-425.8,0.467191
-425.39,0.0971363,-425.39,0.210138,-425.39,0.565537
-424.98,0.199843,-424.98,0.0404317,-424.98,0.685049
-424.57,0.207986,-424.57,0.151411,-424.57,0.726687
-424.16,0.129478,-424.16,0.337655,-424.16,0.852643
-423.751,0.0242041,-423.751,0.337939,-423.751,0.921911
-423.341,-0.0753807,-423.341,0.170688,-423.341,0.677076
-422.931,-0.116712,-422.931,0.0193461,-422.931,0.267344
-422.521,-0.018643,-422.521,0.0932695,-422.521,0.0197042
-422.111,0.0736388,-422.111,0.335134,-422.111,-0.0845263
-421.701,-0.00312658,-421.701,0.630717,-421.701,-0.197073
-421.291,-0.0136444,-421.291,0.918844,-421.291,-0.167324
-420.882,0.270317,-420.882,1.01786,-420.882,-0.0257321
-420.472,0.595459,-420.472,0.841525,-420.472,0.0342174
-420.062,0.805524,-420.062,0.626633,-420.062,-0.0381979
-419.652,0.895461,-419.652,0.53876,-419.652,-0.191659
-419.242,0.860714,-419.242,0.550725,-419.242,-0.44967
-418.832,0.750441,-418.832,0.715926,-418.832,-0.774573
-418.422,0.613825,-418.422,0.939835,-418.422,-1.06579
-418.013,0.492238,-418.013,0.872186,-418.013,-1.19092
-417.603,0.487027,-417.603,0.684985,-417.603,-0.989987
-417.193,0.614509,-417.193,0.606742,-417.193,-0.676852
-416.783,0.67022,-416.783,0.505778,-416.783,-0.403618
-416.373,0.553667,-416.373,0.202689,-416.373,-0.200207
-415.963,0.39851,-415.963,-0.242922,-415.963,-0.232662
-415.553,0.251671,-415.553,-0.470709,-415.553,-0.463574
-415.144,0.1171,-415.144,-0.435186,-415.144,-0.673052
-414.734,0.0793751,-414.734,-0.383733,-414.734,-0.795093
-414.324,0.159239,-414.324,-0.335638,-414.324,-0.731687
-413.914,0.210502,-413.914,-0.258469,-413.914,-0.545081
-413.504,0.272321,-413.504,-0.195025,-413.504,-0.478632
-413.094,0.45901,-413.094,-0.109347,-413.094,-0.486724
-412.684,0.668913,-412.684,0.0304847,-412.684,-0.489118
-412.275,0.701647,-412.275,0.0882793,-412.275,-0.421928
-411.865,0.559425,-411.865,0.025557,-411.865,-0.449217
-411.455,0.476356,-411.455,0.0222885,-411.455,-0.5775
-411.045,0.525532,-411.045,0.0913232,-411.045,-0.625227
-410.635,0.562231,-410.635,0.131463,-410.635,-0.707234
-410.225,0.546846,-410.225,0.161337,-410.225,-0.852362
-409.815,0.447314,-409.815,0.237028,-409.815,-0.975686
